,original,translated
138,que hacen en el estado a corto plazo es,
139,para reelegirse en el poder al quinto,
140,año no están pensando en la gente no,
141,están pensando las nuevas generaciones,
142,nosotros queremos cambiar esa visión y,
143,esa práctica política innovar nosotros,
144,somos innovadores en el campo de la,
145,política en el campo de la economía en,
146,el campo de las políticas de estado,
147,no queremos sujetarlo a las,
148,tradicionales formas de manejar el poder,
149,el poder para nosotros es un instrumento,
150,de trabajo la política para nosotros es,
151,un campo de servicio y no un espacio,
152,donde uno vaya a empoderarse y alejarse,
153,de la gente y de sus necesidades,
154,su relación carlos con el empresariado,
155,privado como está muy bien,
156,extraordinariamente bien con el,
157,empresario privado cruceño y boliviano,
158,porque entiendo yo que se trata de un,
159,salto cualitativo fundamental queremos,
160,debemos es un imperativo derrotar al,
161,movimiento al socialismo derrotarlo,
162,democráticamente y por la vía del voto,
163,entre otras cosas porque le dio la,
164,espalda a la iniciativa privada tanto,
165,local como internacional entre otras,
166,cosas porque generó condiciones que no,
167,eran adecuadas en una visión estatista,
168,secante de lo que tenemos que construir,
169,y lo hemos planteado y lo hemos,
170,discutido con los empresarios,
171,empresarios pequeñitos medianos y,
172,grandes esto es muy importante la idea,
173,de empresario el emprendedor el pequeño,
174,emprendedor es un empresario aquella,
175,persona que tiene una iniciativa,
176,individual porque tiene contratadas a 12,
177,personas,
178,eso significa seguridad jurídica eso,
179,significa la construcción de un consejo,
180,económico y social estado trabajadores y,
181,empresarios para discutir los temas,
182,salariales para discutir el futuro,
183,laboral del país,
184,establecer algo fundamental que tiene,
185,que ver con la seguridad de que,
186,impuestos nacionales no te extorsionan y,
187,hacer una reforma tributaria para,
188,generar dos cosas para que sea,
189,interesante y no una traba tener eso que,
190,se llama nit que es como una especie de,
191,collar que te ponen aquí te jalan de una,
192,manera impresionante y segundo para,
193,generar la posibilidad de que tú tengas,
194,la formalización como un camino,
195,interesante la universalización de la,
196,factura podemos hablar después del tema,
197,tributario pero el concepto es la lógica,
198,es derrotar un modelo de 14 años que no,
199,creía en absoluto en la iniciativa,
200,privada y en el rol fundamental de la,
201,creación y generación de ideas la,
202,generación de construcción de nuevos,
203,emprendimientos y la generación de,
204,empleos privados,
205,creo que hay dos ejemplos que son muy,
206,categóricos de mi buena relación con,
207,santacruz el primero de ellos es una,
208,persona que está aquí conmigo que es,
209,gustavo yo no hubiese elegido como,
210,candidato vicepresidencial a un cruceño,
211,montereño pero fundamentalmente una,
212,persona profesional del mayor nivel de,
213,la mayor capacidad con quien tengo,
214,amistades durante muchos años y que,
215,representa la fuerza de santacruz lo,
216,decía muy bien gustavo la lógica de la,
217,nueva constitución establece la cabeza,
218,de la asamblea legislativa para gustavo,
219,cuando sea vicepresidente y ser parte,
220,del poder ejecutivo que eso no ocurrió,
221,en las elecciones anteriores pero en la,
222,constitución anterior y que ahora es un,
223,elemento muy importante de trabajar,
224,conjuntamente,
225,esa es la presencia real de santacruz la,
226,que tiene mayores opciones de ganar este,
227,proceso electoral y la segunda razón,
228,creo que me la ha dado el pueblo cruceño,
229,con claridad y nos la ha dado ha gustado,
230,y a mí el año pasado gracias a dios,
231,hemos recibido la confianza del voto del,
232,pueblo cruceño que nos hizo ganar,
233,nítidamente en santa cruz y ese es una,
234,muestra,
235,clara de relaciones,
236,qué es lo primero que haría gustado por,
237,santacruz si es que llega a ser,
238,vicepresidente siento que soy la,
239,posibilidad concreta la posibilidad más,
240,realista de llegar al gobierno nacional,
241,y representar a santa cruz esa es mi,
242,primera certeza la segunda poner mi,
243,capacidad profesional para cambiar las,
244,instituciones es decir las instituciones,
245,son el motor de la gestión del estado y,
246,la corrupción es uno de los temas,
247,centrales la corrupción socava cualquier,
248,voluntad y cualquier intención de,
249,cambiar las cosas tenemos que cambiar la,
250,corrupción está en el sobre cerrado en,
251,cuatro paredes cuando se decide a quién,
252,adjudicar obra por la coima del 20% está,
253,en esa tramitología que tortura al,
254,ciudadano está en el fallo del juez,
255,influenciado por el factor político o en,
256,la imputación del fiscal para perseguir,
257,opositores,
258,ahí está la corrupción y queremos,
259,terminar con la corrupción,
260,y absolutamente todo el proceso de,
261,compra pública de licitación pública,
262,para que todos miremos qué empresa,
263,oferta qué empresa gana y digitalizar el,
264,proceso de administración pública salir,
265,del trámite lápiz y papel para utilizar,
266,la tecnología digital y así servir al,
267,ciudadano darle un trámite rápido donde,
268,no haya corrupción y separar al juez de,
269,la influencia del partido político,
270,separar al fiscal de la influencia del,
271,partido político separar a la policía,
272,como institución del manoseo del partido,
273,político para que para que la gente,
274,vuelva a confiar en esas instituciones,
275,cuando fallen de una manera imparcial y,
276,no sean bajo el mando de la coima o de,
277,la influencia política,
278,porque quiero ser presidente porque,
279,queremos ser presidente y vicepresidente,
280,en usado pedraza porque tenemos un,
281,conocimiento exacto de cuáles son los,
282,tres grandes problemas de bolivia una,
283,crisis de salud una crisis económica y,
284,una crisis de corrupción la crisis de,
285,salud tenemos respuestas muy claras y,
286,muy concretas primero la necesidad de,
287,más médicos y mayor equipamiento para la,
288,lucha contra el coronavirus segundo la,
289,necesidad de establecer un test gratuito,
290,eficiente con laboratorios que funciona,
291,tercero establecer la garantía de una,
292,vacuna gratuita logísticamente bien,
293,repartida y equitativamente distribuida,
294,en el país y cuarto una vez que eso,
295,termine y termine la crisis del,
296,coronavirus establecer una lucha contra,
297,el cáncer a través del tratamiento,
298,gratuito en economía dos temas claves la,
299,crisis económica requiere requiere de,
300,inyección económica pero esta inyección,
301,económica no puede ser planteada en,
302,términos macro como si fuera una,
303,cuestión puramente de números y de,
304,macroeconomía tenemos que establecer un,
305,crédito fácil para el pequeño,
306,emprendedor,
307,para que puedas salvar su situación para,
308,el mediano emprendedor e incluso para el,
309,gran emprendedor y el otro elemento,
310,crucial el empleo el empleo que se tiene,
311,y que se pierde el empleo que no se,
312,tiene porque has entrado al mercado el,
313,empleo que está a punto de destruir de,
314,destruirse ese es un elemento clave y,
315,finalmente en la lucha contra la,
316,corrupción dos cosas claves como,
317,símbolos las cámaras en la policía que,
318,tienen que ver con la transparencia la,
319,vinculación de una institución,
320,fundamental para la seguridad ciudadana,
321,y la garantía muy importante de que todo,
322,tipo de tratamiento de compras de,
323,adquisición en términos de la lucha,
324,contra el commit sea transparente y,
325,claro para los ciudadanos,
326,hoy es un día de celebración y alegría,
327,para el departamento del pando 24 de,
328,septiembre día de la creación del,
329,departamento que hoy ya es presente de,
330,bolivia pero pandinas y pandinos están,
331,sufriendo una situación de desempleo de,
332,pandemia de incertidumbre,
333,nuestro compromiso es dar soluciones,
334,porque primero está la gente tenemos,
335,cuatro puntos para resolver los,
336,problemas de salud y el compromiso del,
337,tratamiento gratuito contra el cáncer,
338,tenemos soluciones para buscar empleo en,
339,la crisis económica y tenemos el,
340,compromiso de poner cámaras en los,
341,uniformes de la policía para garantizar,
342,transparencia este es un mensaje de,
343,certeza de un futuro mejor y de una,
344,felicitación muy profunda muy estrecha,
345,muy comprometida con ustedes felicidades,
346,pando,
347,las cruceñas y los cruceños han hecho,
348,muchos sacrificios y han trabajado muy,
349,duramente en estos últimos meses han,
350,sufrido el grave incendio de la,
351,chiquitania el año pasado han luchado,
352,heróicamente los 21 días de resistencia,
353,han soportado la pandemia y la,
354,cuarentena pero el espíritu cruceño,
355,sigue creativo positivo con la sonrisa,
356,puesta con la decisión de transformar,
357,bolivia y nuestro compromiso con,
358,santacruz y con el país es el compromiso,
359,de derrotar las tres crisis la económica,
360,a través de propuestas reales para el,
361,empleo la de salud con cuatro puntos muy,
362,concretos y el compromiso de lucha,
363,gratuita contra el cáncer y la de la,
364,corrupción con transparencia y cambio de,
365,instituciones nuestro saludo a santacruz,
366,nuestra certeza de que es un referente,
367,fundamental de bolivia es el espacio,
368,cosmopolita que une a todos los,
369,bolivianos felicidad de santacruz,
370,bolivia sufre hoy tres crisis salud,
371,desempleo y corrupción es hora de un,
372,líder que luchará contra la triple,
373,crisis y rechazará el fraude nosotros,
374,pondremos a la gente primero tenemos un,
375,plan para salvar y crear en pleno apoyo,
376,directo a sectores productivos créditos,
377,accesibles a las microempresas y en los,
378,empleos públicos vamos a valorar los,
379,méritos y no el color político ya basta,
380,de fraude la gente está primero carlos,
381,meza presidente,
382,bolivia sufre hoy tres crisis salud,
383,desempleo y corrupción es hora de un,
384,líder que luchará contra la triple,
385,crisis y rechazará el fraude nosotros,
386,pondremos a la gente primero y no,
387,toleraremos la corrupción haremos,
388,público cada boliviano gastado en la,
389,lucha contra el coronavirus además,
390,pondremos cámaras anti corrupción ya,
391,basta de fraude la gente están primero,
392,carlos meza presidente,
393,bolivia sufre hoy tres crisis salud,
394,desempleo y corrupción es hora de un,
395,líder que luchará contra la triple,
396,crisis y rechazará el fraude nosotros,
397,pondremos a la gente primero tenemos un,
398,plan de cuatro puntos contra la pandemia,
399,más personal médico más equipamiento,
400,pruebas gratuitas y cuando la vacuna,
401,esté lista nos encargaremos de que,
402,llegue primero a los más necesitados,
403,después pondremos en marcha el,
404,tratamiento gratuito contra el cáncer ya,
405,basta de fraude la gente está primero,
406,carlos meza presidente,
