,polarity,text
53,0.0,no están jerarquizadas heráldica tan
54,0.0,rígida y por lo tanto ese momento
55,0.0,constitutivo cuando marca la papeleta y
56,0.0,la pone al sobre y al amparo es el
57,0.0,momento constitutivo
58,0.8,del voto soberano para elegir a un
59,0.0,gobernante que nosotros creemos que ese
60,0.0,va a ser el voto que nos va a dar a
61,0.0,nosotros la victoria y la mayoría en el
62,0.0,congreso en la asamblea legislativa
63,0.0,la cuestión antes de que si carlos meses
64,0.0,debería aliarse con él y fernando
65,0.0,camacho en este mismo estudio este mismo
66,0.0,set hace una semana atrás le
67,0.0,preguntábamos a luís fernando camacho y
68,0.0,él decía que de ninguna manera entraría
69,0.0,a una alianza con carlos meza se lo
70,0.0,preguntamos a carlos nosotros siempre
71,0.0,hemos estado abiertos al diálogo
72,0.0,frederico la posibilidad de establecer
73,0.0,una línea cuando decimos diálogo es el
74,0.0,bloque que enfrenta al movimiento al
75,0.0,socialismo al que hay que derrotar a
76,0.0,luís arse que no es otra cosa que evo
77,-0.2,morales- gobernando detrás de él que no
78,0.0,podemos tolerar que eso ocurra desde el
79,0.0,punto de vista democrático estamos
80,-0.1,abiertos a diego pero creemos firmemente
81,0.0,como ocurrió el año pasado que la unidad
82,0.0,del voto la del ciudadano el que decide
83,0.0,la fragmentación o la concentración del
84,0.0,voto del ciudadano y esa es nuestra
85,0.45,expectativa más importante hoy por hoy
86,0.3,usted se considera el voto útil otros lo
87,0.8,llaman el voto inteligente
88,0.0,nosotros consideramos que la
89,0.0,construcción del voto tiene que ver con
90,0.25,la capacidad propuesta tú primero
91,0.0,construyes una base sobre la cual
92,0.0,establecer tu vinculación de
93,0.0,credibilidad con la gente la
94,0.0,credibilidad por qué propones cosas
95,0.2833333333333333,creíbles propones cosas realistas y
96,0.0,sabes y ellos saben y ustedes saben
97,0.0,quién tiene la posea de gobernar
98,0.26666666666666666,adecuada y responsablemente y separado
99,0.2,responsablemente y en ese contexto una
100,0.0,vez que has trabajado esa masa crítica
101,0.4,de credibilidad el voto viene el voto se
102,0.0,acerca a ti porque saben que tú eres la
103,0.2333333333333333,única opción real de ganar la elección
104,0.0,estado y mercado tienen un rol el estado
105,0.03333333333333333,tiene un rol social fundamental en la
106,0.0,salud en la educación en la conectividad
107,0.0,en la responsabilidad de dar respuestas
108,0.0,a la lucha contra el coronavirus por
109,0.0,ejemplo pero la iniciativa privada es la
110,0.0,que le va a dar la dinámica de sustituir
111,0.0,la inversión pública como un elemento
112,0.1,central del mecanismo económico del país
113,-0.16666666666666666,me gustaría en el tema para invitarlo a
114,0.0,gustavo a complementar las ideas y es
115,0.1,vital la gente hasta ahora el modelo de
116,0.0,gestión estatal se ha concentrado en
117,0.0,articular trabajar en el mercado el
118,0.0,estado pero la gente ha estado lejos de
119,0.0,estos campos no nosotros tenemos el
120,0.25,eslogan primero en la gente porque
121,-0.1,queremos poner a la gente en el centro
122,0.0,el objetivo del estado el objetivo de
123,0.0,una política pública en materia
124,0.11666666666666667,económica social y científica el ser
125,-0.05,humano no se está ese es el centro para
126,0.0,nosotros entonces esto es lo que han
127,-0.4,ignorado otro partido nosotros queremos
128,0.0,resolver los problemas de la economía de
129,0.0,la educación de la salud de la ciencia y
130,0.0,la tecnología pero poniendo a la gente
131,-0.1,en el centro y eso es
132,0.1,vital repetirlo subrayar lo no ha habido
133,0.0,es ese protagonismo de la gente los
134,0.0,partidos políticos cuando toman el poder
135,0.0,se olvidan de la gente y se concentran
136,0.0,en la reproducción del poder se
137,0.0,concentra se aferran al poder y todo lo
138,0.0,que hacen en el estado a corto plazo es
139,0.0,para reelegirse en el poder al quinto
140,0.0,año no están pensando en la gente no
141,0.13636363636363635,están pensando las nuevas generaciones
142,0.0,nosotros queremos cambiar esa visión y
143,0.0,esa práctica política innovar nosotros
144,0.0,somos innovadores en el campo de la
145,0.0,política en el campo de la economía en
146,0.0,el campo de las políticas de estado
147,0.0,no queremos sujetarlo a las
148,0.0,tradicionales formas de manejar el poder
149,0.0,el poder para nosotros es un instrumento
150,0.0,de trabajo la política para nosotros es
151,0.0,un campo de servicio y no un espacio
152,0.0,donde uno vaya a empoderarse y alejarse
153,0.0,de la gente y de sus necesidades
154,0.0,su relación carlos con el empresariado
155,0.20833333333333334,privado como está muy bien
156,0.3333333333333333,extraordinariamente bien con el
157,0.0,empresario privado cruceño y boliviano
158,0.0,porque entiendo yo que se trata de un
159,0.0,salto cualitativo fundamental queremos
160,0.0,debemos es un imperativo derrotar al
161,0.0,movimiento al socialismo derrotarlo
162,0.0,democráticamente y por la vía del voto
163,-0.125,entre otras cosas porque le dio la
164,0.0,espalda a la iniciativa privada tanto
165,0.0,local como internacional entre otras
166,0.0,cosas porque generó condiciones que no
167,0.3333333333333333,eran adecuadas en una visión estatista
168,0.0,secante de lo que tenemos que construir
169,0.0,y lo hemos planteado y lo hemos
170,0.0,discutido con los empresarios
171,0.0,empresarios pequeñitos medianos y
172,0.66,grandes esto es muy importante la idea
173,-0.25,de empresario el emprendedor el pequeño
174,0.0,emprendedor es un empresario aquella
175,0.0,persona que tiene una iniciativa
176,0.0,individual porque tiene contratadas a 12
177,0.0,personas
178,0.2,eso significa seguridad jurídica eso
179,0.0,significa la construcción de un consejo
180,0.11666666666666667,económico y social estado trabajadores y
181,0.0,empresarios para discutir los temas
182,0.0,salariales para discutir el futuro
183,0.0,laboral del país
184,0.0,establecer algo fundamental que tiene
185,0.0,que ver con la seguridad de que
186,0.0,impuestos nacionales no te extorsionan y
187,0.0,hacer una reforma tributaria para
188,0.0,generar dos cosas para que sea
189,0.5,interesante y no una traba tener eso que
190,0.6,se llama nit que es como una especie de
191,0.0,collar que te ponen aquí te jalan de una
192,0.5,manera impresionante y segundo para
193,0.0,generar la posibilidad de que tú tengas
194,0.0,la formalización como un camino
195,0.25,interesante la universalización de la
196,0.0,factura podemos hablar después del tema
197,0.25,tributario pero el concepto es la lógica
198,0.0,es derrotar un modelo de 14 años que no
199,0.0,creía en absoluto en la iniciativa
200,0.0,privada y en el rol fundamental de la
201,0.0,creación y generación de ideas la
202,0.13636363636363635,generación de construcción de nuevos
203,0.0,emprendimientos y la generación de
204,0.0,empleos privados
205,0.2,creo que hay dos ejemplos que son muy
206,0.7,categóricos de mi buena relación con
207,0.25,santacruz el primero de ellos es una
208,0.0,persona que está aquí conmigo que es
209,0.0,gustavo yo no hubiese elegido como
210,0.0,candidato vicepresidencial a un cruceño
211,0.0,montereño pero fundamentalmente una
212,0.1,persona profesional del mayor nivel de
213,0.0,la mayor capacidad con quien tengo
214,0.5,amistades durante muchos años y que
215,0.0,representa la fuerza de santacruz lo
216,0.2857142857142857,decía muy bien gustavo la lógica de la
217,0.13636363636363635,nueva constitución establece la cabeza
218,0.0,de la asamblea legislativa para gustavo
219,0.0,cuando sea vicepresidente y ser parte
220,0.0,del poder ejecutivo que eso no ocurrió
221,-0.16666666666666666,en las elecciones anteriores pero en la
222,-0.16666666666666666,constitución anterior y que ahora es un
223,0.52,elemento muy importante de trabajar
224,0.0,conjuntamente
225,0.2,esa es la presencia real de santacruz la
226,0.65,que tiene mayores opciones de ganar este
227,0.0,proceso electoral y la segunda razón
228,0.0,creo que me la ha dado el pueblo cruceño
229,0.35,con claridad y nos la ha dado ha gustado
230,0.1,y a mí el año pasado gracias a dios
231,0.0,hemos recibido la confianza del voto del
232,0.8,pueblo cruceño que nos hizo ganar
233,-0.125,nítidamente en santa cruz y ese es una
234,0.0,muestra
235,0.10000000000000002,clara de relaciones
236,0.25,qué es lo primero que haría gustado por
237,0.0,santacruz si es que llega a ser
238,0.0,vicepresidente siento que soy la
239,0.325,posibilidad concreta la posibilidad más
240,0.16666666666666666,realista de llegar al gobierno nacional
241,0.0,y representar a santa cruz esa es mi
242,0.125,primera certeza la segunda poner mi
243,0.1,capacidad profesional para cambiar las
244,0.0,instituciones es decir las instituciones
245,0.0,son el motor de la gestión del estado y
246,0.0,la corrupción es uno de los temas
247,0.0,centrales la corrupción socava cualquier
248,0.0,voluntad y cualquier intención de
249,0.0,cambiar las cosas tenemos que cambiar la
250,0.0,corrupción está en el sobre cerrado en
251,0.0,cuatro paredes cuando se decide a quién
252,0.0,adjudicar obra por la coima del 20% está
253,0.0,en esa tramitología que tortura al
254,-0.3166666666666667,ciudadano está en el fallo del juez
255,0.0,influenciado por el factor político o en
256,0.0,la imputación del fiscal para perseguir
257,0.0,opositores
258,0.0,ahí está la corrupción y queremos
259,0.0,terminar con la corrupción
260,0.0,y absolutamente todo el proceso de
261,0.0,compra pública de licitación pública
262,0.0,para que todos miremos qué empresa
263,0.5,oferta qué empresa gana y digitalizar el
264,0.0,proceso de administración pública salir
265,0.0,del trámite lápiz y papel para utilizar
266,0.0,la tecnología digital y así servir al
267,0.3333333333333333,ciudadano darle un trámite rápido donde
268,0.0,no haya corrupción y separar al juez de
269,0.0,la influencia del partido político
270,0.0,separar al fiscal de la influencia del
271,0.0,partido político separar a la policía
272,-0.4,como institución del manoseo del partido
273,0.0,político para que para que la gente
274,0.0,vuelva a confiar en esas instituciones
275,-0.5,cuando fallen de una manera imparcial y
276,0.0,no sean bajo el mando de la coima o de
277,0.0,la influencia política
278,0.0,porque quiero ser presidente porque
279,0.0,queremos ser presidente y vicepresidente
280,0.0,en usado pedraza porque tenemos un
281,0.4000000000000001,conocimiento exacto de cuáles son los
282,0.8,tres grandes problemas de bolivia una
283,0.2,crisis de salud una crisis económica y
284,0.0,una crisis de corrupción la crisis de
285,0.13000000000000003,salud tenemos respuestas muy claras y
286,0.125,muy concretas primero la necesidad de
287,0.5,más médicos y mayor equipamiento para la
288,0.0,lucha contra el coronavirus segundo la
289,0.4,necesidad de establecer un test gratuito
290,0.0,eficiente con laboratorios que funciona
291,0.0,tercero establecer la garantía de una
292,0.4,vacuna gratuita logísticamente bien
293,0.0,repartida y equitativamente distribuida
294,0.0,en el país y cuarto una vez que eso
295,0.0,termine y termine la crisis del
296,0.0,coronavirus establecer una lucha contra
297,0.0,el cáncer a través del tratamiento
298,0.2,gratuito en economía dos temas claves la
299,0.2,crisis económica requiere requiere de
300,0.0,inyección económica pero esta inyección
301,0.2,económica no puede ser planteada en
302,0.0,términos macro como si fuera una
303,0.21428571428571427,cuestión puramente de números y de
304,0.0,macroeconomía tenemos que establecer un
305,0.09166666666666667,crédito fácil para el pequeño
306,0.0,emprendedor
307,0.0,para que puedas salvar su situación para
308,0.0,el mediano emprendedor e incluso para el
309,0.3375,gran emprendedor y el otro elemento
310,0.0,crucial el empleo el empleo que se tiene
311,0.0,y que se pierde el empleo que no se
312,0.0,tiene porque has entrado al mercado el
313,-0.2,empleo que está a punto de destruir de
314,0.0,destruirse ese es un elemento clave y
315,0.0,finalmente en la lucha contra la
316,0.0,corrupción dos cosas claves como
317,0.0,símbolos las cámaras en la policía que
318,0.0,tienen que ver con la transparencia la
319,0.0,vinculación de una institución
320,0.0,fundamental para la seguridad ciudadana
321,0.52,y la garantía muy importante de que todo
322,0.0,tipo de tratamiento de compras de
323,0.0,adquisición en términos de la lucha
324,0.0,contra el commit sea transparente y
325,0.10000000000000002,claro para los ciudadanos
326,0.8,hoy es un día de celebración y alegría
327,0.0,para el departamento del pando 24 de
328,0.0,septiembre día de la creación del
329,0.0,departamento que hoy ya es presente de
330,0.0,bolivia pero pandinas y pandinos están
331,0.0,sufriendo una situación de desempleo de
332,0.0,pandemia de incertidumbre
333,0.0,nuestro compromiso es dar soluciones
334,0.25,porque primero está la gente tenemos
335,0.0,cuatro puntos para resolver los
336,0.0,problemas de salud y el compromiso del
337,0.4,tratamiento gratuito contra el cáncer
338,0.0,tenemos soluciones para buscar empleo en
339,0.2,la crisis económica y tenemos el
340,0.0,compromiso de poner cámaras en los
341,0.0,uniformes de la policía para garantizar
342,0.0,transparencia este es un mensaje de
343,0.25,certeza de un futuro mejor y de una
344,0.195,felicitación muy profunda muy estrecha
345,0.2,muy comprometida con ustedes felicidades
346,0.0,pando
347,0.0,las cruceñas y los cruceños han hecho
348,0.35,muchos sacrificios y han trabajado muy
349,-0.14583333333333334,duramente en estos últimos meses han
350,-0.3333333333333333,sufrido el grave incendio de la
351,0.0,chiquitania el año pasado han luchado
352,0.0,heróicamente los 21 días de resistencia
353,0.0,han soportado la pandemia y la
354,0.0,cuarentena pero el espíritu cruceño
355,0.34242424242424246,sigue creativo positivo con la sonrisa
356,0.0,puesta con la decisión de transformar
357,0.0,bolivia y nuestro compromiso con
358,0.0,santacruz y con el país es el compromiso
359,0.2,de derrotar las tres crisis la económica
360,0.2,a través de propuestas reales para el
361,0.2,empleo la de salud con cuatro puntos muy
362,0.15000000000000002,concretos y el compromiso de lucha
363,0.4,gratuita contra el cáncer y la de la
364,0.0,corrupción con transparencia y cambio de
365,0.0,instituciones nuestro saludo a santacruz
366,0.0,nuestra certeza de que es un referente
367,0.0,fundamental de bolivia es el espacio
368,0.0,cosmopolita que une a todos los
369,0.7,bolivianos felicidad de santacruz
370,-0.6,bolivia sufre hoy tres crisis salud
371,0.0,desempleo y corrupción es hora de un
372,0.0,líder que luchará contra la triple
373,0.0,crisis y rechazará el fraude nosotros
374,0.25,pondremos a la gente primero tenemos un
375,0.35,plan para salvar y crear en pleno apoyo
376,0.1,directo a sectores productivos créditos
377,0.375,accesibles a las microempresas y en los
378,0.0,empleos públicos vamos a valorar los
379,0.0,méritos y no el color político ya basta
380,0.25,de fraude la gente está primero carlos
381,0.0,meza presidente
382,-0.6,bolivia sufre hoy tres crisis salud
383,0.0,desempleo y corrupción es hora de un
384,0.0,líder que luchará contra la triple
385,0.0,crisis y rechazará el fraude nosotros
386,0.25,pondremos a la gente primero y no
387,0.0,toleraremos la corrupción haremos
388,-0.05,público cada boliviano gastado en la
389,0.0,lucha contra el coronavirus además
390,0.0,pondremos cámaras anti corrupción ya
391,0.125,basta de fraude la gente están primero
392,0.0,carlos meza presidente
393,-0.6,bolivia sufre hoy tres crisis salud
394,0.0,desempleo y corrupción es hora de un
395,0.0,líder que luchará contra la triple
396,0.0,crisis y rechazará el fraude nosotros
397,0.25,pondremos a la gente primero tenemos un
398,0.0,plan de cuatro puntos contra la pandemia
399,0.3333333333333333,más personal médico más equipamiento
400,0.4,pruebas gratuitas y cuando la vacuna
401,0.2,esté lista nos encargaremos de que
402,0.25,llegue primero a los más necesitados
403,0.0,después pondremos en marcha el
404,0.4,tratamiento gratuito contra el cáncer ya
405,0.125,basta de fraude la gente está primero
406,0.0,carlos meza presidente
