,created_at,original,translated
10,2020-09-22,Compartiendo con los hermanos de CARANAVI,Brothers sharing with CARANAVI
11,2020-09-22,Homenaje del Dr. Chi a Santa Cruz. Entrevista en Enrique Salazar 21/09/2020,Dr. Chi homage to Santa Cruz. Enrique Salazar interview 21/09/2020
12,2020-09-22,"Oruro será centro turístico y comercial de Bolivia. Cuando entre de presidente no solamente Oruro, sino todos los Dptos. van a subir para arriba. Entrevista completa para los medios de comunicación y población en general. 
Proyecto Chi Puede para Bolivia","Oruro is tourist and commercial center of Bolivia. When President not only from Oruro, but all Depts. They will rise up. Full interview to the media and the general public.
Chi can project for Bolivia"
13,2020-09-24,"Desde las cabañas del río Piraí, felicitamos a los departamentos de Santa Cruz y Pando en su aniversario. En Cristo Jesús podemos ser un país unido, poderoso y bendecido por Dios.
Chi Puede - 24 de Septiembre de 2020","From the Pirai river cabins congratulate the departments of Santa Cruz and Pando on their anniversary. In Jesus Christ we can be a united, powerful country and blessed by God.
Can Chi - September 24, 2020"
14,2020-09-25,"Estuvimos compartiendo con la gente en el Alto. Por una Bolivia unida, próspera y bendecida. Chi Puede","We were sharing with people in Alto. By Bolivia united, prosperous and blessed. Chi Can"
15,2020-09-26,"Salar de Uyuni será el lugar turístico más grande de Sudamérica. Así como lo tienen ""Cataratas del Iguazú"" en la triple frontera Paraguay-Brasil-Argentina, así como tienen ""Disneylandia"" en Estados Unidos y así como tenemos en Corea del Sur.","Salar de Uyuni is the largest tourist destination in South America. And they have it ""Iguazu Falls"" on the triple border Paraguay-Brazil-Argentina, and have ""Disneyland"" in the United States and as we have in South Korea."
16,2020-09-26,"¿Cómo bajaremos el impuesto del IVA a 5% y eliminar el IT? En Bolivia no hubo correcta nacionalización de los recursos naturales, porque 90% de los recursos están privatizados. Entonces si gestionamos correcta nacionalización, incluso no sería necesario que paguemos impuestos. Por esa razón bajaremos el IVA de 13 % a 5%","How do we go down tax VAT to 5% and eliminate IT? In Bolivia there was no correct nationalization of natural resources, because 90% of the resources are privatized. So if we manage correct nationalization, even you would not need to pay taxes. For that reason we will lower the VAT from 13% to 5%"
17,2020-09-26,"ARCE, MESA, CAMACHO SON LOS QUE DEBEN DECLINAR ¿Por qué?
La Sigla del MAS gestionó la convulsión social causando las muertes en Sacaba y Senkata. Mesa gestionó el incendio en el Organo Electoral, hizo daño al estado y quemó la pruebas del fraude electoral. Camacho gestionó el golpe de estado a Evo Morales, impidiendo una nueva elección sin el MAS, con los partidos que sacaron más del 3%",
18,2020-09-27,"Seamos ""hacedores de presidente"" defendamos la libertad y la vida.","Let us be ""doers of president"" defend freedom and life."
19,2020-09-28,"¿CÓMO DECIDE DR. CHI ENTRAR EN LA POLÍTICA? No podía yo estar simplemente como Pastor en la Iglesia, y como catedrático hablando a los estudiantes, sino que debía hacer algo diferente. Porque Bolivia estaba peligrando.","You DECIDE HOW DR. CHI enter politics? I could not be just as Pastor in the Church, and as professor talking to students, but to do something different. Because Bolivia was in danger."
20,2020-09-28,"DESDE UN PRINCIPIO PEDIMOS NUEVA ELECCIÓN SIN EL M.A.S , pero grupo de ""defensores de la democracia"" prefirieron gestionar la renuncia de Evo Morales, provocando la sedición y terrorismo en el país.","NEW ASK outset ELECTION WITHOUT M.A.S, but group of ""defenders of democracy"" preferred to manage the resignation of Evo Morales, causing sedition and terrorism in the country."
21,2020-09-29,"DENUNCIA PENAL CONTRA CAMACHO por gestionar ""Golpe de estado""
El Alto 28/09/2020","CRIMINAL COMPLAINT AGAINST CAMACHO to manage ""Putsch""
Upper 09.28.2020"
22,2020-09-29,"ENTREVISTA AL VIVO A DR. CHI SOBRE LA DENUNCIA PENAL A CAMACHO POR GESTIONAR ""GOLPE DE ESTADO"". 
Programa Enrique Salazar  28/09/2019","INTERVIEW WITH THE LIVING A DR. CHI ON CRIMINAL COMPLAINT BY CAMACHO MANAGE A ""COUP"".
Enrique Salazar Program 28/09/2019"
23,2020-09-30,"POR QUÉ LA DEMANDA PENAL A CAMACHO POR ""GOLPE DE ESTADO""? Desde un principio nosotros exigimos nueva elección sin el ""MAS"" por fraude electoral y respetando la demanda del 21F. Pero Camacho pedía 2da vuelta con MESA Y el ""MAS"" , o sea Camacho estaba avalando que aquí no existió fraude. 
Entrevista en No Mentiras P.A.T.  28/09/2020","WHY THE DEMAND FOR CRIMINAL A CAMACHO ""COUP""? From the beginning we demand new election without the ""MAS"" for electoral fraud and demand respect for the 21F. But Camacho asked 2nd round table and the ""MAS"" or endorsing Camacho was here there was no fraud.
No Lies interview P.A.T. 28/09/2020"
24,2020-10-01,"¿HUBO GOLPE DE ESTADO EN BOLIVIA? 
Lánzo la pregunta al Servicio Militar, al Poder legislativo, al Tribunal Constitucional y al Tribunal Electoral. Entrevista en ""Portada Informativa"" FM 100 (30/09/2020)","Was there COUP BOLIVIA?
Threw the question to the military, to the legislature, to the Constitutional Court and the Electoral Tribunal. Interview on ""Home Informative"" FM 100 (09/30/2020)"
25,2020-10-01,"TCP, DELINCUENTES
No tienen respeto, son descarados, son serviles, son delincuentes y hacen todo lo posible para favorecer a quien los puso en esos cargos.
Juegan con los plazos procesales y lo único que buscan a toda costa, es repetir algo que todavía recordamos todos.
Sí, los del TRIBUNAL CONSTITUCIONAL PLURINACIONAL son claros serviles al partido del MAS. 
Recordemos que este órgano del estado, también posibilitó la habilitación de Evo Morales para un cuarto mandato ignorando incluso un Referendo que le cerró el paso a su impostura y hoy ya se sabe que la CIDH se pronunció al respecto y no hay tal “derecho humano” para prorrogarse indefinidamente en el poder, habiendo limitaciones constitucionales.
En el presente caso, habiendo pruebas evidentes para la cancelación de la Personalidad Jurídica del MAS, existiendo jurisprudencia en ese sentido, todavía lo premian utilizando para ello a todo un Tribunal Constitucional Plurinacional como su brazo operativo judicial, para lavarles la cara a quienes  revelaron encuestas, favorecerlos también en el monumental fraude electoral que hasta ahora hay sanción al respecto.
Con todos estos antecedentes, crecen nuestras dudas sobre la eficacia de las próximas elecciones, cuando vemos y somos testigos de encuestas que surgen y se elaboran al mejor postor y se publican sin el más mínimo rubor para favorecer a quien las paga.
Cuando sabemos que todos los procedimientos electorales para favorecer al anterior régimen siguen intactos y se aplicará el mismo método y con los mismos actores que manipularon los resultados, solo varían los nombres de los integrantes del TSE que fueron designados por la Asamblea Legislativa Plurinacional con mayoría masista y por tanto, obedecen también a quienes los designaron en esos cargos, apartándose de su imparcialidad.
Esa es la realidad a la cual nos enfrentamos, simple y llanamente es la misma estructura delincuencialmente montada por el anterior régimen para favorecer a ciertas candidaturas para que nuestro país siga en el atraso.
Santa Cruz de la Sierra, 01 de octubre de 2020
PROYECTO CHI PUEDE","TCP, CRIMINALS
They have no respect, they are brash, are menial, are criminals and do their best to favor those who put them in office.
Play with the procedural deadlines and all they want at all costs, is to repeat something I still remember all.
Yes, those of the CONSTITUTIONAL COURT PLURINATIONAL are clear subservient to the party of the MAS.
Remember that this organ of the state, also enabled the empowerment of Evo Morales for a fourth term ignoring even a referendum that blocked his way to his imposture and today we know that the IACHR ruled in the matter and there is no ""human right"" for extended indefinitely in power, having constitutional limitations.
In the present case, having clear evidence for the cancellation of the legal personality of the MAS, existing jurisprudence in this regard, still reward using for this purpose an entire Constitutional Court Plurinational as its legal operating arm to wash his face who revealed surveys also favor them in the monumental electoral fraud that so far no penalty to respect.
With this background, growing our doubts about the effectiveness of the next election, when we see and witness surveys that arise and are made to the highest bidder and published without the slightest blush to favor whoever pays.
When we know that all electoral procedures to favor the former intact still regime and the same method will be applied and with the same actors who manipulated the results vary only the names of the members of the TSE who were appointed by the Plurinational Legislative Assembly masista majority and thus also obey those who appointed them in those positions, away from his impartiality.
That is the reality we face, plain and simple is the same delincuencialmente assembled structure by the former regime to favor certain candidates for our country to remain in the backlog.
Santa Cruz de la Sierra, October 1, 2020
PROJECT CAN CHI"
26,2020-10-01,"""UN GOBIERNO FACILITADOR PARA UN PUEBLO EMPRENDEDOR""
.
.
.
En nuestro gobierno vamos a gestionar  Monocultores para todos nuestros hermanos  agricultores ....",
27,2020-10-02,"Población LGBT y legalización del ABORTO.  
Programa ""Propuesta por Bolivia"" TVU 01/10/2020","LGBT population and the legalization of ABORTION.
Program ""proposed by Bolivia"" TVU 10/01/2020"
28,2020-10-02,"MUCHAS GRACIAS A NUESTROS HERMANOS DE COBIJA- PANDO

#ChiPuede","THANK YOU TO OUR BROTHERS COBIJA- PANDO

#ChiPuede"
29,2020-10-02,"HACIA UNA EDUCACIÓN DE 1er MUNDO
""Tenemos que gestionar no solamente 4 ó 5 horas de clases al día. Sino tenemos que multiplicar x 2"" y además volver a dividir en 3 ciclos. ""Básico. Intermedio y Medio"" sin quitar la niñes a los niños.","TOWARDS EDUCATION 1st WORLD
""We have to manage not only 4 or 5 hours of classes a day. But we have to multiply x 2"" and also re-divided into 3 cycles. ""Basic. Intermediate and Middle"" without removing the niñes children."
30,2020-10-03,Presupuesto para la SALUD,Health budget
31,2020-10-03,"GRAN DEBATE DE PRESIDENCIABLES 3 OCT 2020 19:30 H
“Hablemos del futuro económico de #Bolivia” 
El debate más esperado por la población boliviana porque se contará con la presencia de todos los candidatos a la presidencia.",
32,2020-10-04,"HOY DOM 4 OCT 2020 A LAS 20H GRAN DEBATE DE PRESIDENCIABLES EN LA CIUDAD DE LA PAZ. 
A pesar de Arce manifestar no asistir, y en las últimas horas Camacho y Mesa también están manifestando lo mismo. Invitamos a toda la población boliviana a acompañar las propuestas de nuestro Proyecto Chi Puede, por una Bolivia productiva e industrializada.","DOM 4 OCT 2020 TODAY THE GREAT DEBATE 20H presidenciables IN THE CITY OF PEACE.
Although Arce manifest not attend, and in the last hours Camacho and Mesa are also manifesting the same. We invite all Bolivians to accompany our Chi Project proposals may, by a productive and industrialized Bolivia."
33,2020-10-04,"BOLIVIA PRODUCTIVA E INDUSTRIALIZADA, RUMBO AL 1er MUNDO CON ""CHI PUEDE""  RESUMEN DEL FORO-DEBATE 03 OCT 2020 
""Gobierno facilitador para un pueblo emprendedor"" 
con: Cooperación - Autosustentación - Trabajo intenso
Link Foro/Debate completo: https://www.facebook.com/watch/?v=762670550962292",
34,2020-10-05,"Todas las INTERVENCIONES DEL Dr. CHI EN EL 2do DEBATE de presidenciables. 4 Octubre del 2020. C.O.E. La Paz.  Los ausentes Arce y Camacho.
Link debate completo: https://www.facebook.com/watch/live/?v=1400327950159799&ref=search","All interventions Dr. CHI IN THE 2ND DEBATE presidenciables. October 4th of 2020 C.O.E. Peace. Arce and Camacho absent.
Link full discussion: https://www.facebook.com/watch/live/?v=1400327950159799&ref=search"
35,2020-10-06,"Entrevista a Dr. Chi en Unitel ""La Revista"" 06 Oct 2020","Interview with Dr. Chi in Unitel ""Magazine"" October 6, 2020"
36,2020-10-06,06 OCT 2020 Dr. Chi desafía a Camacho a un debate,06 OCT 2020 Dr. Chi Camacho challenge to a debate
37,2020-10-06,"Estuvimos compartiendo en la ciudad de Sucre, ciudad donde me formé como médico. Gracias sucre!!!  06 Octubre 2020","We were sharing in the city of Sucre, the city where I trained as a doctor. sucre Thanks !!! October 6, 2020"
38,2020-10-06,Dr. CHI vs. MESA en el 2do debate de presidenciables 04/10/2020,Dr. CHI vs. MESA 2nd presidential debate 04/10/2020
39,2020-10-07,"¿CÓMO VAMOS A UNIFICAR AL PAÍS?
N°1) Con amor de DIOS
N°2) Con respeto a la CONSTITUCIÓN POLÍTICA DEL ESTADO
Discurso en Sucre 2da parte 06/10/2020","HOW WE unify COUNTRY?
No. 1) Love GOD
No. 2) With respect to the CONSTITUTION OF THE STATE
Speech in Sucre Part 2 10/06/2020"
40,2020-10-08,"Formalizamos invitación a Camacho para debatir sobre ""Gobierno de Dios y Gobierno moral de Dios""  La Paz  8 oct. 2020
https://exitonoticias.com.bo/.../chi-formaliza.../
https://www.facebook.com/watch/?v=344021883379646","Camacho formalized invitation to discuss ""Government of God and moral government of God"" La Paz on Oct. 8. 2020
https://exitonoticias.com.bo/.../chi-formaliza.../
https://www.facebook.com/watch/?v=344021883379646"
41,2020-10-09,"Hacia una Bolivia productiva e industrializada, libre de corrupción. 
Chi Puede!!","Bolivia towards a productive and industrialized, free of corruption.
Chi can !!"
42,2020-10-10,Vamos Bolivia...,Let Bolivia ...
43,2020-10-10,Vamos Bolivia!!!,Let Bolivia !!!
44,2020-10-10,Vamos Bolivia con Chi se puede!!!,
45,2020-10-10,Corea del Sur apoya a CHI. #VamosBolivia,South Korea supports CHI. #VamosBolivia
46,2020-10-11,"Corea del Sur está con el Dr. Chi. Rumbo a convertirnos en la segunda Corea del Sur con Autosustentación, Cooperación y Trabajo intenso. Chi Puede....!!!!","South Korea is with Dr. Chi. Course to become the second South Korea with Self-sustainability, cooperation and hard work. Can Chi .... !!!!"
47,2020-10-11,"Un saludo a todas las mujeres bolivianas en su día
11 de Octubre 2020 Caravana en La Paz",
48,2020-10-11,"FPV pide al TSE anular la Alianza CC. 
Alianza ""Comunidad Ciudadana"" queda en manos del TSE.",
49,2020-10-12,#VamosBolivia!!!,#VamosBolivia !!!
50,2020-10-12,Por una salud digna. ¡VAMOS BOLIVIA!,By a health worthy. BOLIVIA VAMOS!
51,2020-10-12,Se destinará el 15 % del presupuesto general de la nación para la Salud. ¡VAMOS BOLIVIA!,15% of the overall national budget allocated to health. BOLIVIA VAMOS!
52,2020-10-12,Corea del Sur apoya a CHI. #VamosBolivia,South Korea supports CHI. #VamosBolivia
53,2020-10-12,"El partido F.R.I. DEJA SÓLO A CARLOS MESA y APOYA AL PROYECTO CHI PUEDE.
""El F.R.I. no está de acuerdo a convertir el país, en un país abortero, pedófilo y con ideología de género""  -- Dr. Chi Hyun Chung","The party F.R.I. Just leave CARLOS MESA and SUPPORTS THE PROJECT CAN CHI.
""The F.R.I. does not agree to turn the country into an abortionist country, pedophile and gender ideology"" - Dr. Chi Hyun Chung"
54,2020-10-13,"""Si yo bajo, directamente gana el MAS. Si Luis Arce baja, podríamos ganar en 1ra vuelta.""  Vamos a trabajar para todos los bolivianos, tanto de la izquierda como los de la derecha.","""If I go down, MAS straight wins. If Luis Arce low, we could win in 1 lap."" We will work for all Bolivians, both the left and the right."
55,2020-10-13,Corea del Sur apoya a CHI. #VamosBolivia,South Korea supports CHI. #VamosBolivia
56,2020-10-13,Corea del Sur apoya a CHI. #VamosBolivia,South Korea supports CHI. #VamosBolivia
57,2020-10-13,Corea del Sur apoya a CHI. #VamosBolivia,
58,2020-10-13,"Proyecto Chi Puede no se baja. ""más bien invitamos a los demás partidos a que se unan a nosotros,  porque si bajo yo directamente gana el M.A.S. Y si baja Luis Arce ganaríamos en 1ra vuelta""
Entrevista a ExitoNoticias 12/10/2020","Chi project can not be low. ""Rather we invite other parties to join us, because if I straight wins under M.A.S. if low Luis Arce would win in 1st Turn""
Interview with ExitoNoticias 10/12/2020"
59,2020-10-13,Vamos Bolivia!!!,Let Bolivia !!!
60,2020-10-13,Corea del Sur apoya a CHI. #VamosBolivia!!!,South Korea supports CHI. #VamosBolivia !!!
61,2020-10-13,"Las diversas facetas del candidato Chi Hyun Chung
#ChiPuede","The various facets of the candidate Chi Hyun Chung
#ChiPuede"
62,2020-10-14,Cierre de campaña - Chi Puede.,Season finale - Chi can.
63,2020-10-14,"ALIANZA “CREEMOS” DE CAMACHO ES ILEGAL
Ya vengo haciendo la denuncia a “CC” por ser ilegítima la candidatura que postula a Carlos Mesa, por no existir la unión legal entre CST y FRI. 
De la misma manera Caso Camacho, existen 2 denuncias ante el TSE por parte de PDC, una en 27 Ene 2020 y que fue ratificado el 06 Oct 2020 en que se reitera e insiste sobre la ilegalidad de esta unión entre PDC y UCS. Por lo tanto no existe esa alianza “CREEMOS” y es ilegítima la candidatura de Camacho.
Santa Cruz, 14 de Octubre de 2020","ALLIANCE ""WE BELIEVE"" Camacho IS ILLEGAL
And I've been doing the complaint to ""CC"" for being illegitimate candidacy postulating Carlos Mesa, because there is no legal link between CST and FRI.
Likewise Camacho case, there are two complaints to the TSE by PDC, one on 27 Jan 2020 and was ratified on 6 October 2020 that reiterates and insists on the illegality of this union between PDC and UCS. Therefore there is no such alliance ""believe"" and is illegitimate Camacho's candidacy.
Santa Cruz, October 14, 2020"
64,2020-10-14,"Hoy está de cumpleaños una persona especial quièn llegò a Bolivia desde Corea del Sur con toda su familia, como misioneros para servir a este paìs, llegando a estar entre los primeros nominados al premio nobel de La Paz. Y hoy celebramos sus 84 años y Bolivia te dice gracias papá por servir y ser ejemplo a todas las generaciones. 
14 de Octubre de 2020","Today birthday is a special person who came to Bolivia from South Korea with his family, as missionaries to serve this country, becoming among the top nominees for the Nobel Peace Prize. And today we celebrate his 84 years and Bolivia thanks dad tells you to serve and be an example to all generations.
October 14, 2020"
65,2020-10-14,Inicio de caravana y cierre de campaña.,Home caravan and season finale.
66,2020-10-14,"A las 19 Hrs. iniciamos el culto de:
ACCION DE GRACIAS/CIERRE DE CAMPAÑA ELECTORAL
FRENTE PARA LA VICTORIA.","At 19 Hrs. We started the cult of:
THANKSGIVING / CLOSING OF ELECTORAL CAMPAIGN
Front for Victory."
